Number of bits, Time in seconds
50, 0.4281
75, 0.2274
100, 0.1455
110, 0.1493
125, 0.2303
150, 0.2973
175, 0.6106
200, 1.1269
250, 1.1216
300, 1.8803
350, 3.6806
400, 3.5502
450, 7.1119
500, 20.5438
