Number of bits, Time in seconds
50, 0.0525
75, 0.1313
100, 0.1903
110, 0.2295
125, 0.2792
150, 0.4383
175, 0.8075
200, 1.6656
250, 2.0037
300, 3.3698
350, 7.6945
400, 7.6738
450, 14.6697
500, 18.8566
