Number of bits, Time in seconds
50, 0.0711
75, 0.3279
100, 0.2016
110, 0.2810
125, 0.2703
150, 0.5122
175, 0.7247
200, 1.6987
250, 2.5304
300, 7.3655
350, 8.4451
400, 13.7514
450, 15.2027
500, 20.3956
