Number of bits, Time in seconds
50, 0.1909
75, 0.6310
100, 0.3344
110, 0.4048
125, 0.4220
150, 0.7411
175, 2.0329
200, 2.0998
250, 3.1123
300, 7.2950
350, 8.4013
400, 12.5121
450, 15.0705
500, 19.5522
