Number of bits, Time in seconds
50, 0.1311
75, 0.6725
100, 0.4648
110, 0.5574
125, 0.9971
150, 1.3924
175, 1.9343
200, 2.5913
250, 3.3183
300, 6.6669
350, 10.5154
400, 16.3312
450, 17.3413
500, 24.6339
