Number of bits, Time in seconds
50, 0.1188
75, 0.4180
100, 0.2825
110, 0.2634
125, 0.3781
150, 0.9322
175, 0.8070
200, 2.1682
250, 2.6960
300, 3.7570
350, 8.6688
400, 9.2824
450, 14.4985
500, 19.3567
