Number of bits, Time in seconds
50, 0.0771
75, 0.1255
100, 0.1751
110, 0.2579
125, 0.2743
150, 1.0080
175, 1.2175
200, 1.2828
250, 2.5857
300, 6.4143
350, 7.7743
400, 15.5462
450, 15.0013
500, 19.6697
