Number of bits, Time in seconds
50, 0.2719
75, 0.4227
100, 0.7540
110, 0.6339
125, 0.6249
150, 1.5846
175, 1.8695
200, 2.5250
250, 3.0818
300, 4.6017
350, 10.6314
400, 9.7956
450, 18.2435
500, 20.3839
