Number of bits, Time in seconds
50, 0.0474
75, 0.1214
100, 0.1845
110, 0.3491
125, 0.2064
150, 0.2875
175, 0.7168
200, 2.1541
250, 1.9894
300, 2.9416
350, 7.3615
400, 7.2999
450, 14.4193
500, 15.0391
