Number of bits, Time in seconds
50, 0.7987
75, 1.0841
100, 0.9966
110, 1.0734
125, 1.5389
150, 1.9640
175, 2.1850
200, 2.3662
250, 5.0262
300, 7.3104
350, 11.3447
400, 15.2450
450, 19.3123
500, 29.7471
