Number of bits, Time in seconds
50, 0.5294
75, 0.5693
100, 0.4969
110, 0.7634
125, 0.8651
150, 1.3122
175, 2.0652
200, 2.7095
250, 3.3601
300, 9.2599
350, 10.4096
400, 12.2220
450, 16.9199
500, 29.1297
