Number of bits, Time in seconds
50, 0.0963
75, 0.7565
100, 0.2018
110, 0.3568
125, 0.3432
150, 0.9834
175, 1.0521
200, 2.0845
250, 2.9340
300, 5.5336
350, 8.8620
400, 9.8896
450, 14.7493
500, 19.3617
