Number of bits, Time in seconds
50, 0.3227
75, 0.1372
100, 0.2014
110, 0.2653
125, 0.7867
150, 0.6608
175, 1.3221
200, 1.4373
250, 2.7168
300, 5.8438
350, 8.0428
400, 12.4174
450, 13.1288
500, 21.0848
