Number of bits, Time in seconds
50, 0.4012
75, 0.3428
100, 0.3939
110, 0.3388
125, 0.4160
150, 2.1679
175, 2.3490
200, 2.3602
250, 3.0835
300, 6.5941
350, 7.9036
400, 12.7438
450, 15.9744
500, 23.3289
