Number of bits, Time in seconds
50, 0.0842
75, 0.1470
100, 0.6100
110, 0.2408
125, 0.3378
150, 0.6499
175, 0.9682
200, 1.2563
250, 2.5547
300, 5.3318
350, 7.8346
400, 11.7306
450, 13.8722
500, 17.7465
