Number of bits, Time in seconds
50, 0.0170
75, 0.0704
100, 0.1277
110, 0.1727
125, 0.1357
150, 0.2521
175, 0.5238
200, 0.5661
250, 1.5188
300, 2.7794
350, 7.4601
400, 6.3239
450, 14.1512
500, 14.4590
