Number of bits, Time in seconds
50, 0.0147
75, 0.0722
100, 0.1067
110, 0.2278
125, 0.1312
150, 0.2669
175, 0.5778
200, 0.5278
250, 1.4024
300, 2.8728
350, 8.1350
400, 7.0097
450, 12.7148
500, 14.9805
