Number of bits, Time in seconds
50, 0.0179
75, 0.0616
100, 0.1061
110, 0.1825
125, 0.1241
150, 0.2736
175, 0.5073
200, 0.5151
250, 1.6654
300, 2.7342
350, 7.5133
400, 7.0088
450, 13.6967
500, 14.5821
