Number of bits, Time in seconds
50, 0.0159
75, 0.0699
100, 0.3403
110, 0.1808
125, 0.2978
150, 0.2659
175, 0.5411
200, 0.5636
250, 1.5995
300, 2.8896
350, 6.8259
400, 6.3716
450, 13.5945
500, 14.7129
