Number of bits, Time in seconds
50, 0.0172
75, 0.0568
100, 0.2895
110, 0.2283
125, 0.1339
150, 0.2450
175, 0.5465
200, 0.6251
250, 1.4922
300, 2.8659
350, 6.9264
400, 6.8136
450, 11.8824
500, 15.3142
