Number of bits, Time in seconds
50, 0.0161
75, 0.0450
100, 0.5058
110, 0.1717
125, 0.1301
150, 0.2420
175, 0.5812
200, 0.5947
250, 1.5595
300, 2.6083
350, 7.4855
400, 6.9182
450, 13.6138
500, 15.4257
