Number of bits, Time in seconds
50, 0.0170
75, 0.0709
100, 0.1546
110, 0.2635
125, 0.1718
150, 0.3531
175, 0.7979
200, 0.8527
250, 2.0826
300, 3.4050
350, 8.3247
400, 6.9064
450, 14.7344
500, 44.5963
