Number of bits, Time in seconds
50, 0.0183
75, 0.0649
100, 0.5258
110, 0.1968
125, 0.1292
150, 0.2303
175, 0.5919
200, 0.5579
250, 1.6185
300, 2.8322
350, 7.7248
400, 6.1373
450, 13.8992
500, 14.5270
