Number of bits, Time in seconds
50, 0.0159
75, 0.0365
100, 0.2760
110, 0.1763
125, 0.1424
150, 0.2390
175, 0.5524
200, 0.6472
250, 1.5178
300, 2.9129
350, 7.3960
400, 6.6650
450, 14.4211
500, 14.2729
