Number of bits, Time in seconds
50, 0.0182
75, 0.0412
100, 0.2908
110, 0.2063
125, 0.1649
150, 0.2229
175, 0.5655
200, 0.6049
250, 1.6825
300, 2.8239
350, 7.0253
400, 6.4332
450, 13.4940
500, 14.4716
