Number of bits, Time in seconds
50, 0.0164
75, 0.0594
100, 0.2915
110, 0.1863
125, 0.1362
150, 0.2453
175, 0.4838
200, 0.6005
250, 1.5330
300, 2.9436
350, 7.9105
400, 6.5515
450, 13.6899
500, 12.9738
