Number of bits, Time in seconds
50, 0.0166
75, 0.0641
100, 0.3217
110, 0.1399
125, 0.1329
150, 0.2535
175, 0.5437
200, 0.5839
250, 1.6123
300, 2.9331
350, 7.4601
400, 6.1367
450, 13.9865
500, 14.4172
