Number of bits, Time in seconds
50, 0.0163
75, 0.0597
100, 0.0787
110, 0.4211
125, 0.1315
150, 0.2482
175, 0.5937
200, 0.6382
250, 1.6426
300, 2.8743
350, 7.7661
400, 6.8475
450, 14.1084
500, 15.5266
