Number of bits, Time in seconds
50, 0.0168
75, 0.0611
100, 0.4544
110, 0.1462
125, 0.1261
150, 0.2405
175, 0.5472
200, 0.6384
250, 1.6444
300, 2.6549
350, 7.7787
400, 6.2357
450, 14.6129
500, 14.1519
