Number of bits, Time in seconds
50, 0.0157
75, 0.0454
100, 0.4940
110, 0.1839
125, 0.1409
150, 0.2214
175, 0.5293
200, 0.6286
250, 1.5090
300, 2.7879
350, 7.8398
400, 6.4712
450, 12.8557
500, 14.9717
