Number of bits, Time in seconds
50, 0.0143
75, 0.0634
100, 0.2400
110, 0.1906
125, 0.1451
150, 0.2403
175, 0.8989
200, 0.5363
250, 1.5983
300, 2.7577
350, 7.2658
400, 6.9564
450, 13.8457
500, 15.6244
